,#,Glycan,Antenna 1,Antenna 2,Antenna 3,Antenna 4,Formula,Monoisotopic mass,Man,Fuc,Bisecting Gn,Host Cell Line,NSa,NGn,NGal,NHex
110,111,A1Sg1,Sg-G-Gn-,None,None,None,C59H96N4O44,1564.54,3,0,0,CHO-N-glycan,0,1,1,1
111,112,A1Sg1F,Sg-G-Gn-,None,None,None,C65H106N4O48,1710.6,3,1,0,CHO-N-glycan,0,1,1,1
112,113,A2Sg1G0,Sg-G-Gn-,None,Gn-,None,C67H109N5O49,1767.62,3,0,0,CHO-N-glycan,0,2,1,1
113,114,A2Sg1G0F,Sg-G-Gn-,None,Gn-,None,C73H119N5O53,1913.68,3,1,0,CHO-N-glycan,0,2,1,1
114,115,A2Sg1G1,Sg-G-Gn-,None,G-Gn-,None,C73H119N5O54,1929.67,3,0,0,CHO-N-glycan,0,2,2,2
115,116,A2Sg1G1F,Sg-G-Gn-,None,G-Gn-,None,C79H129N5O58,2075.73,3,1,0,CHO-N-glycan,0,2,2,2
116,117,A2Sg1S1,Sg-G-Gn-,None,S-G-Gn-,None,C84H136N6O62,2220.77,3,0,0,CHO-N-glycan,1,2,2,2
117,118,A2Sg1S1F,Sg-G-Gn-,None,S-G-Gn-,None,C90H146N6O66,2366.83,3,1,0,CHO-N-glycan,1,2,2,2
118,119,A2Sg2,Sg-G-Gn-,None,Sg-G-Gn-,None,C84H136N6O63,2236.76,3,0,0,CHO-N-glycan,0,2,2,2
119,120,A2Sg2F,Sg-G-Gn-,None,Sg-G-Gn-,None,C90H146N6O67,2382.82,3,1,0,CHO-N-glycan,0,2,2,2
120,121,A3Sg1G0,Sg-G-Gn-,Gn-,Gn-,None,C75H122N6O54,1970.7,3,0,0,CHO-N-glycan,0,3,1,1
121,122,A3Sg1G0F,Sg-G-Gn-,Gn-,Gn-,None,C81H132N6O58,2116.76,3,1,0,CHO-N-glycan,0,3,1,1
122,123,A4Sg1G0,Sg-G-Gn-,Gn-,Gn-,Gn-,C83H135N7O59,2173.78,3,0,0,CHO-N-glycan,0,4,1,1
123,124,A4Sg1G0F,Sg-G-Gn-,Gn-,Gn-,Gn-,C89H145N7O63,2319.84,3,1,0,CHO-N-glycan,0,4,1,1
124,125,A3Sg1G1,Sg-G-Gn-,G-Gn-,Gn-,None,C81H132N6O59,2132.75,3,0,0,CHO-N-glycan,0,3,2,2
125,126,A3Sg1G1F,Sg-G-Gn-,G-Gn-,Gn-,None,C87H142N6O63,2278.81,3,1,0,CHO-N-glycan,0,3,2,2
126,127,A4Sg1G1,Sg-G-Gn-,G-Gn-,Gn-,Gn-,C89H145N7O64,2335.83,3,0,0,CHO-N-glycan,0,4,2,2
127,128,A4Sg1G1F,Sg-G-Gn-,G-Gn-,Gn-,Gn-,C95H155N7O68,2481.89,3,1,0,CHO-N-glycan,0,4,2,2
128,129,A3Sg1G2,Sg-G-Gn-,G-Gn-,G-Gn-,None,C87H142N6O64,2294.8,3,0,0,CHO-N-glycan,0,3,3,3
129,130,A3Sg1G2F,Sg-G-Gn-,G-Gn-,G-Gn-,None,C93H152N6O68,2440.86,3,1,0,CHO-N-glycan,0,3,3,3
130,131,A4Sg1G2,Sg-G-Gn-,G-Gn-,G-Gn-,Gn-,C95H155N7O69,2497.88,3,0,0,CHO-N-glycan,0,4,3,3
131,132,A4Sg1G2F,Sg-G-Gn-,G-Gn-,G-Gn-,Gn-,C101H165N7O73,2643.94,3,1,0,CHO-N-glycan,0,4,3,3
132,133,A4Sg1G3,Sg-G-Gn-,G-Gn-,G-Gn-,G-Gn-,C101H165N7O74,2659.94,3,0,0,CHO-N-glycan,0,4,4,4
133,134,A4Sg1G3F,Sg-G-Gn-,G-Gn-,G-Gn-,G-Gn-,C107H175N7O78,2805.99,3,1,0,CHO-N-glycan,0,4,4,4
134,135,A3Sg1S1G0,Sg-G-Gn-,S-G-Gn-,Gn-,None,C92H149N7O67,2423.85,3,0,0,CHO-N-glycan,1,3,2,2
135,136,A3Sg1S1G0F,Sg-G-Gn-,S-G-Gn-,Gn-,None,C98H159N7O71,2569.9,3,1,0,CHO-N-glycan,1,3,2,2
136,137,A4Sg1S1G0,Sg-G-Gn-,S-G-Gn-,Gn-,Gn-,C100H162N8O72,2626.93,3,0,0,CHO-N-glycan,1,4,2,2
137,138,A4Sg1S1G0F,Sg-G-Gn-,S-G-Gn-,Gn-,Gn-,C106H172N8O76,2772.98,3,1,0,CHO-N-glycan,1,4,2,2
138,139,A3Sg1S1G1,Sg-G-Gn-,S-G-Gn-,G-Gn-,None,C98H159N7O72,2585.9,3,0,0,CHO-N-glycan,1,3,3,3
139,140,A3Sg1S1G1F,Sg-G-Gn-,S-G-Gn-,G-Gn-,None,C104H169N7O76,2731.96,3,1,0,CHO-N-glycan,1,3,3,3
140,141,A4Sg1S1G1,Sg-G-Gn-,S-G-Gn-,G-Gn-,Gn-,C106H172N8O77,2788.98,3,0,0,CHO-N-glycan,1,4,3,3
141,142,A4Sg1S1G1F,Sg-G-Gn-,S-G-Gn-,G-Gn-,Gn-,C112H182N8O81,2935.04,3,1,0,CHO-N-glycan,1,4,3,3
142,143,A4Sg1S1G2,Sg-G-Gn-,S-G-Gn-,G-Gn-,G-Gn-,C112H182N8O82,2951.03,3,0,0,CHO-N-glycan,1,4,4,4
143,144,A4Sg1S1G2F,Sg-G-Gn-,S-G-Gn-,G-Gn-,G-Gn-,C118H192N8O86,3097.09,3,1,0,CHO-N-glycan,1,4,4,4
144,145,A3Sg1S2,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,None,C109H176N8O80,2877,3,0,0,CHO-N-glycan,2,3,3,3
145,146,A3Sg1S2F,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,None,C115H186N8O84,3023.05,3,1,0,CHO-N-glycan,2,3,3,3
146,147,A4Sg1S2G0,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,Gn-,C117H189N9O85,3080.07,3,0,0,CHO-N-glycan,2,4,3,3
147,148,A4Sg1S2G0F,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,Gn-,C123H199N9O89,3226.13,3,1,0,CHO-N-glycan,2,4,3,3
148,149,A4Sg1S2G1,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,G-Gn-,C123H199N9O90,3242.13,3,0,0,CHO-N-glycan,2,4,4,4
149,150,A4Sg1S2G1F,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,G-Gn-,C129H209N9O94,3388.19,3,1,0,CHO-N-glycan,2,4,4,4
150,151,A4Sg1S3,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,S-G-Gn-,C134H216N10O98,3533.22,3,0,0,CHO-N-glycan,3,4,4,4
151,152,A4Sg1S3F,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,S-G-Gn-,C140H226N10O102,3679.28,3,1,0,CHO-N-glycan,3,4,4,4
152,153,A3Sg2G0,Sg-G-Gn-,Sg-G-Gn-,Gn-,None,C92H149N7O68,2439.84,3,0,0,CHO-N-glycan,0,3,2,2
153,154,A3Sg2G0F,Sg-G-Gn-,Sg-G-Gn-,Gn-,None,C98H159N7O72,2585.9,3,1,0,CHO-N-glycan,0,3,2,2
154,155,A4Sg2G0,Sg-G-Gn-,Sg-G-Gn-,Gn-,Gn-,C100H162N8O73,2642.92,3,0,0,CHO-N-glycan,0,4,2,2
155,156,A4Sg2G0F,Sg-G-Gn-,Sg-G-Gn-,Gn-,Gn-,C106H172N8O77,2788.98,3,1,0,CHO-N-glycan,0,4,2,2
156,157,A3Sg2G1,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,None,C98H159N7O73,2601.89,3,0,0,CHO-N-glycan,0,3,3,3
157,158,A3Sg2G1F,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,None,C104H169N7O77,2747.95,3,1,0,CHO-N-glycan,0,3,3,3
158,159,A4Sg2G1,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,Gn-,C106H172N8O78,2804.97,3,0,0,CHO-N-glycan,0,4,3,3
159,160,A4Sg2G1F,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,Gn-,C112H182N8O82,2951.03,3,1,0,CHO-N-glycan,0,4,3,3
160,161,A4Sg2G2,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,G-Gn-,C112H182N8O83,2967.03,3,0,0,CHO-N-glycan,0,4,4,4
161,162,A4Sg2G2F,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,G-Gn-,C118H192N8O87,3113.08,3,1,0,CHO-N-glycan,0,4,4,4
162,163,A3Sg2S1,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,None,C109H176N8O81,2892.99,3,0,0,CHO-N-glycan,1,3,3,3
163,164,A3Sg2S1F,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,None,C115H186N8O85,3039.05,3,1,0,CHO-N-glycan,1,3,3,3
164,165,A4Sg2S1G0,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,Gn-,C117H189N9O86,3096.07,3,0,0,CHO-N-glycan,1,4,3,3
165,166,A4Sg2S1G0F,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,Gn-,C123H199N9O90,3242.13,3,1,0,CHO-N-glycan,1,4,3,3
166,167,A4Sg2S1G1,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,G-Gn-,C123H199N9O91,3258.12,3,0,0,CHO-N-glycan,1,4,4,4
167,168,A4Sg2S1G1F,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,G-Gn-,C129H209N9O95,3404.18,3,1,0,CHO-N-glycan,1,4,4,4
168,169,A4Sg2S2,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,C134H216N10O99,3549.22,3,0,0,CHO-N-glycan,2,4,4,4
169,170,A4Sg2S2F,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,S-G-Gn-,C140H226N10O103,3695.28,3,1,0,CHO-N-glycan,2,4,4,4
170,171,A3Sg3,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,None,C109H176N8O82,2908.98,3,0,0,CHO-N-glycan,0,3,3,3
171,172,A3Sg3F,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,None,C115H186N8O86,3055.04,3,1,0,CHO-N-glycan,0,3,3,3
172,173,A4Sg3G0,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,Gn-,C117H189N9O87,3112.06,3,0,0,CHO-N-glycan,0,4,3,3
173,174,A4Sg3G0F,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,Gn-,C123H199N9O91,3258.12,3,1,0,CHO-N-glycan,0,4,3,3
174,175,A4Sg3G1,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,C123H199N9O92,3274.12,3,0,0,CHO-N-glycan,0,4,4,4
175,176,A4Sg3G1F,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,G-Gn-,C129H209N9O96,3420.18,3,1,0,CHO-N-glycan,0,4,4,4
176,177,A4Sg3S1,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,C134H216N10O100,3565.21,3,0,0,CHO-N-glycan,1,4,4,4
177,178,A4Sg3S1F,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,S-G-Gn-,C140H226N10O104,3711.27,3,1,0,CHO-N-glycan,1,4,4,4
178,179,A4Sg4,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,C134H216N10O101,3581.21,3,0,0,CHO-N-glycan,0,4,4,4
179,180,A4Sg4F,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,Sg-G-Gn-,C140H226N10O105,3727.27,3,1,0,CHO-N-glycan,0,4,4,4
180,181,Gn,None,None,None,None,C8H13N1O5,203.079,0,0,0,CHO-N-glycan,0,0,0,-3
181,182,GnF,None,None,None,None,C14H23N1O9,349.137,0,1,0,CHO-N-glycan,0,0,0,-3
182,183,Free,None,None,None,None,None,0,0,0,0,Free,0,0,0,-3
183,11,A2G0B,Gn-,None,Gn-,None,C58H95N5O40,1501.56,3,0,1,Human-N-glycan,0,2,0,0
