nuclide,mass,uncertainty
87Rb,86.90918714,0.000003142
87Sr,86.90888406,0.000002782
87Y,86.91088195,0.000003145
87Zr,86.91481724,0.000008974
87Nb,86.92036635,0.000065034
87Mo,86.92759983,0.000336984
88Br,87.92408236,0.00014037
88Kr,87.91445275,0.000015057
88Rb,87.91132579,0.000004844
88Sr,87.90561877,0.000002807
88Y,87.90950777,0.000003236
88Zr,87.91022498,0.000011046
88Nb,87.917954,0.000215
88Mo,87.921819,0.000322
89Br,88.926546,0.000433
89Kr,88.91763532,0.000054381
89Rb,88.91227837,0.000008725
89Sr,88.90745014,0.000004189
89Y,88.90584851,0.000003028
89Zr,88.90889025,0.000003858
89Nb,88.91344893,0.000020376
89Mo,88.91948004,0.000016646
89Tc,88.926995,0.00043
90Br,89.931011,0.000431
90Kr,89.91952408,0.000034952
90Rb,89.91481126,0.00001358
90Sr,89.90773825,0.000003713
90Y,89.9071519,0.000003042
90Zr,89.90470258,0.000002603
90Nb,89.91126296,0.000005021
90Mo,89.91393284,0.000006607
90Tc,89.923809,0.000322
91Kr,90.92337728,0.000086312
91Rb,90.91648518,0.000008596
91Sr,90.91018711,0.000005272
91Y,90.90730314,0.000003336
91Zr,90.90564388,0.000002577
91Nb,90.90699076,0.000003757
91Mo,90.91175541,0.000013481
91Tc,90.91843495,0.00021513
91Ru,90.92657,0.00043
92Kr,91.92627355,0.000087146
92Rb,91.91966056,0.000014786
92Sr,91.91094396,0.000013003
92Y,91.90891666,0.000010672
92Zr,91.90503865,0.000002573
92Nb,91.90719206,0.000003028
92Mo,91.90680822,0.000004215
92Tc,91.91525733,0.000027936
92Ru,91.92012,0.000322
93Kr,92.9311342,0.000129871
93Rb,92.92197693,0.000016454
93Sr,92.9139867,0.000013308
93Y,92.90957066,0.000011851
93Zr,92.90647429,0.000002573
93Nb,92.90637717,0.000002686
93Mo,92.90681267,0.000004201
93Tc,92.91024598,0.000004335
93Ru,92.91704747,0.000091354
93Rh,92.925812,0.000429
94Rb,93.92643156,0.000028238
94Sr,93.91536698,0.00000802
94Y,93.91159665,0.000006013
94Zr,93.90631479,0.000002753
94Nb,93.90728095,0.000002726
94Mo,93.90508528,0.000002577
94Tc,93.90965416,0.000005761
94Ru,93.91136116,0.000013668
94Rh,93.921667,0.000322
95Rb,94.92935229,0.000029737
95Sr,94.91938476,0.000062216
95Y,94.91281371,0.000006032
95Zr,94.9080417,0.000002761
95Nb,94.90683472,0.000002259
95Mo,94.90584107,0.000002213
95Tc,94.9076568,0.000006689
95Ru,94.91041443,0.000012756
95Rh,94.91590019,0.000161535
95Pd,94.924692,0.00043
96Rb,95.93436916,0.000037006
96Sr,95.9217551,0.000047931
96Y,95.91594054,0.000045908
96Zr,95.90827505,0.000003535
96Nb,95.90809986,0.000004824
96Mo,95.9046785,0.000002197
96Tc,95.90787039,0.000005944
96Ru,95.90759936,0.00000846
96Rh,95.91451454,0.00001358
96Pd,95.918013,0.000322
97Rb,96.93743768,0.000048947
97Sr,96.92614212,0.000079089
97Y,96.91812404,0.000066198
97Zr,96.91095024,0.0000034
97Nb,96.90809647,0.000002914
97Mo,96.90602045,0.000002161
97Tc,96.90636429,0.000004896
97Ru,96.90755631,0.000008957
97Rh,96.91132442,0.000033428
97Pd,96.91647739,0.000323791
97Ag,96.923885,0.000431
98Rb,97.94196329,0.000068388
98Sr,97.92862075,0.000083784
98Y,97.92230406,0.000069556
98Zr,97.91273455,0.000021589
98Nb,97.91033011,0.000006427
98Mo,97.90540733,0.000002171
98Tc,97.90721519,0.000004149
98Ru,97.90528709,0.000006735
98Rh,97.91071638,0.00001258
98Pd,97.91272234,0.000023077
98Ag,97.921559,0.000322
99Rb,98.94539844,0.000126415
99Sr,98.93325247,0.000136938
99Y,98.92471628,0.000110167
99Zr,98.91654266,0.000073482
99Nb,98.91161894,0.000014304
99Mo,98.90771091,0.000002217
